LINK CODE,ADVERTISER,LINK NAME,LINK ID,RETAIL PRICE,CATEGORY,,,,,,,,,,,
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634670&type=2&murl=http%3A%2F%2Fus.asos.com%2Fnew-look-petite%2Fnew-look-petite-side-split-midi-skirt-in-black-polka-dot%2Fprd%2F12902450%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditlawaxwq%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/0/5/4/2/12902450/black/image1xxlrmbnrbtm.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634670&type=2&subid=0"" >",ASOS (USA),New Look Petite side split midi skirt in black polka dot - Black,,,14625634670,32,Apparel & Accessories,,Ad links in column L and P,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634670&type=2&murl=http%3A%2F%2Fus.asos.com%2Fnew-look-petite%2Fnew-look-petite-side-split-midi-skirt-in-black-polka-dot%2Fprd%2F12902450%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditlawaxwq%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/0/5/4/2/12902450/black/image1xxlrmbnrbtm.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634670&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634666&type=2&murl=http%3A%2F%2Fus.asos.com%2Fasos-petite%2Fasos-design-petite-cami-wrap-maxi-dress-in-polka-dot%2Fprd%2F12719118%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditlawatrt%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/8/1/1/9/12719118/brownbasedspot/image1xxlrmbnrbtm.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634666&type=2&subid=0"" >",ASOS (USA),ASOS DESIGN Petite cami wrap maxi dress in polka dot - Multi,,,14625634666,48,Apparel & Accessories,,Image links in column N,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634666&type=2&murl=http%3A%2F%2Fus.asos.com%2Fasos-petite%2Fasos-design-petite-cami-wrap-maxi-dress-in-polka-dot%2Fprd%2F12719118%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditlawatrt%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/8/1/1/9/12719118/brownbasedspot/image1xxlrmbnrbtm.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634666&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634680&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-denim-v-neck-blouse-with-puff-sleeves-in-blue%2Fprd%2F13106158%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditmitmxpi%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/8/5/1/6/13106158/blue/image1xxl.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634680&type=2&subid=0"" >",ASOS (USA),Monki denim v-neck blouse with puff sleeves in blue - Blue,,,14625634680,48,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634680&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-denim-v-neck-blouse-with-puff-sleeves-in-blue%2Fprd%2F13106158%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditmitmxpi%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/8/5/1/6/13106158/blue/image1xxl.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634680&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634676&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-satin-polka-dot-midi-skirt-in-navy%2Fprd%2F13003414%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditrrwqtlx%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/4/1/4/3/13003414/blue/image1xxlrmbnrbtm.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634676&type=2&subid=0"" >",ASOS (USA),Monki satin polka dot midi skirt in navy - Blue,,,14625634676,48,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634676&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-satin-polka-dot-midi-skirt-in-navy%2Fprd%2F13003414%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditrrwqtlx%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/4/1/4/3/13003414/blue/image1xxlrmbnrbtm.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634676&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634674&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-textured-knitted-button-through-cardigan-in-off-white%2Fprd%2F13003401%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditqpiiwwp%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/1/0/4/3/13003401/white/image1xxlrmbnrbtm.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634674&type=2&subid=0"" >",ASOS (USA),Monki textured knitted button through cardigan in off white - White,,,14625634674,48,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634674&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-textured-knitted-button-through-cardigan-in-off-white%2Fprd%2F13003401%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditqpiiwwp%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/1/0/4/3/13003401/white/image1xxlrmbnrbtm.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634674&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634654&type=2&murl=http%3A%2F%2Fus.asos.com%2Fasos-design%2Fasos-design-off-shoulder-crochet-sweater%2Fprd%2F12481551%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Dwamapxxmr%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/1/5/5/1/12481551/white/image1xxl.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634654&type=2&subid=0"" >",ASOS (USA),ASOS DESIGN off shoulder crochet sweater - White,,,14625634654,42,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634654&type=2&murl=http%3A%2F%2Fus.asos.com%2Fasos-design%2Fasos-design-off-shoulder-crochet-sweater%2Fprd%2F12481551%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Dwamapxxmr%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/1/5/5/1/12481551/white/image1xxl.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634654&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634660&type=2&murl=http%3A%2F%2Fus.asos.com%2Fstradivarius%2Fstradivarius-ribbed-top-in-pink-floral-print%2Fprd%2F12570451%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Dwamrqrita%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/1/5/4/0/12570451/red/image1xxl.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634660&type=2&subid=0"" >",ASOS (USA),Stradivarius ribbed top in pink floral print - Red,,,14625634660,17.9,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634660&type=2&murl=http%3A%2F%2Fus.asos.com%2Fstradivarius%2Fstradivarius-ribbed-top-in-pink-floral-print%2Fprd%2F12570451%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Dwamrqrita%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/1/5/4/0/12570451/red/image1xxl.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634660&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634668&type=2&murl=http%3A%2F%2Fus.asos.com%2Fnew-look-petite%2Fnew-look-petite-side-split-midi-skirt-in-black-polka-dot%2Fprd%2F12902450%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditlawaxwm%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/0/5/4/2/12902450/black/image1xxlrmbnrbtm.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634668&type=2&subid=0"" >",ASOS (USA),New Look Petite side split midi skirt in black polka dot - Black,,,14625634668,32,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634668&type=2&murl=http%3A%2F%2Fus.asos.com%2Fnew-look-petite%2Fnew-look-petite-side-split-midi-skirt-in-black-polka-dot%2Fprd%2F12902450%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditlawaxwm%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/0/5/4/2/12902450/black/image1xxlrmbnrbtm.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634668&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634678&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-satin-polka-dot-midi-skirt-in-navy%2Fprd%2F13003414%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditarttilx%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/4/1/4/3/13003414/blue/image1xxlrmbnrbtm.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634678&type=2&subid=0"" >",ASOS (USA),Monki satin polka dot midi skirt in navy - Blue,,,14625634678,48,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634678&type=2&murl=http%3A%2F%2Fus.asos.com%2Fmonki%2Fmonki-satin-polka-dot-midi-skirt-in-navy%2Fprd%2F13003414%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Ditarttilx%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/4/1/4/3/13003414/blue/image1xxlrmbnrbtm.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634678&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634662&type=2&murl=http%3A%2F%2Fus.asos.com%2Fasos-design%2Fasos-design-crochet-button-up-mini-dress%2Fprd%2F12708492%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Dwaarwrpwr%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc""><IMG border=0 src=""http://images.asos-media.com/inv/media/2/9/4/8/12708492/white/image1xxl.jpg"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634662&type=2&subid=0"" >",ASOS (USA),ASOS DESIGN crochet button up mini dress - White,,,14625634662,45,Apparel & Accessories,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=324006.14625634662&type=2&murl=http%3A%2F%2Fus.asos.com%2Fasos-design%2Fasos-design-crochet-button-up-mini-dress%2Fprd%2F12708492%3F%26browseCountry%3DUS%26currencyid%3D2%26istCompanyId%3D467dd896-9a62-42c2-84d9-be2d13921f66%26istFeedId%3Df98fb7fb-768a-4bbf-9619-b71eaa692019%26istItemId%3Dwaarwrpwr%26istBid%3Dt%26channelref%3Dproduct%2Bsearch%26mk%3Dabc,,http://images.asos-media.com/inv/media/2/9/4/8/12708492/white/image1xxl.jpg,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=324006.14625634662&type=2&subid=0, >
