LINK CODE,ADVERTISER,LINK NAME,LINK ID,RETAIL PRICE,CATEGORY,,,,,,,,,,,,
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13873356558&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fhazel-asymmetric-crop-shirt""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Hazel_Asymmetric_Crop_Shirt_by_STORETS_1800x1800.jpg?v=1549526107"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13873356558&type=2&subid=0"" >","JAE. CO., LTD",HAZEL ASYMMETRIC CROP SHIRT,,,13873356558,64.9,Apparel & #038 Accessories,,,Ad links in M and Q,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13873356558&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fhazel-asymmetric-crop-shirt,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Hazel_Asymmetric_Crop_Shirt_by_STORETS_1800x1800.jpg?v=1549526107,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13873356558&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13837645151&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fmerida-denim-contrast-lace-dress""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/0327_sto10927_grande.jpg?v=1554872106"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13837645151&type=2&subid=0"" >","JAE. CO., LTD",JUDY DISTRESSED DENIM JACKET,,,13837645151,85.9,Apparel & #038 Accessories,,,Image link in O,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13837645151&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fmerida-denim-contrast-lace-dress,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/0327_sto10927_grande.jpg?v=1554872106,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13837645151&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13750068699&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fquinn-sheer-blouse-with-ruffle-detail""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/storets_Quinn_Sheer_Blouse_with_Ruffle_Detail_720x.jpg?v=1545633641"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13750068699&type=2&subid=0"" >","JAE. CO., LTD",QUINN SHEER BLOUSE WITH RUFFLE DETAIL,,,13750068699,75.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13750068699&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fquinn-sheer-blouse-with-ruffle-detail,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/storets_Quinn_Sheer_Blouse_with_Ruffle_Detail_720x.jpg?v=1545633641,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13750068699&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13750068651&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fjae-embellished-trim-jacket-and-skirt-set""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/storets_Jae_Embellished_Trim_Jacket_and_Skirt_Set_1800x1800.jpg?v=1545974792"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13750068651&type=2&subid=0"" >","JAE. CO., LTD",JAE EMBELLISHED TRIM JACKET AND SKIRT SET,,,13750068651,159,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13750068651&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fjae-embellished-trim-jacket-and-skirt-set,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/storets_Jae_Embellished_Trim_Jacket_and_Skirt_Set_1800x1800.jpg?v=1545974792,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13750068651&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827972&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fchelsia-wide-leg-pants""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Chelsia_Wide_Leg_Pants_by_STORETS_1800x1800.jpg?v=1550824085"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827972&type=2&subid=0"" >","JAE. CO., LTD",CHELSIA WIDE LEG PANTS,,,13976827972,79.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827972&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fchelsia-wide-leg-pants,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Chelsia_Wide_Leg_Pants_by_STORETS_1800x1800.jpg?v=1550824085,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827972&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827952&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fjoselyn-paperbag-belt-jeans""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Joselyn_Paperbag_Belt_Jeans_by_STORETS_1800x1800.jpg?v=1550821679"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827952&type=2&subid=0"" >","JAE. CO., LTD",JOSELYN PAPERBAG BELT JEANS,,,13976827952,68.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827952&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fjoselyn-paperbag-belt-jeans,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Joselyn_Paperbag_Belt_Jeans_by_STORETS_1800x1800.jpg?v=1550821679,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827952&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827940&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fisla-floaty-ruffle-skirt""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Isla_Floaty_Ruffle_Skirt_by_STORETS_1800x1800.jpg?v=1552299617"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827940&type=2&subid=0"" >","JAE. CO., LTD",ISLA FLOATY RUFFLE SKIRT,,,13976827940,54.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827940&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fisla-floaty-ruffle-skirt,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Isla_Floaty_Ruffle_Skirt_by_STORETS_1800x1800.jpg?v=1552299617,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827940&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828002&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ftara-boot-cut-pants""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Tara_Boot_Cut_Pants_by_STORETS_1800x1800.jpg?v=1550645126"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828002&type=2&subid=0"" >","JAE. CO., LTD",TARA BOOT CUT PANTS,,,13976828002,75.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828002&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ftara-boot-cut-pants,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Tara_Boot_Cut_Pants_by_STORETS_1800x1800.jpg?v=1550645126,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828002&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827999&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fzooey-lace-trim-tulip-skirt""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Azalea_Asymmetric_Collar_Blouse_by_STORETS_720x.jpg?v=1550737779"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827999&type=2&subid=0"" >","JAE. CO., LTD",ZOOEY LACE TRIM TULIP SKIRT,,,13976827999,54.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827999&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fzooey-lace-trim-tulip-skirt,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Azalea_Asymmetric_Collar_Blouse_by_STORETS_720x.jpg?v=1550737779,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827999&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827963&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Frosie-double-belted-high-waist-pants""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Rosie_Double_Belted_High_Waist_Pants_by_STORETS_1800x1800.jpg?v=1550820601"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827963&type=2&subid=0"" >","JAE. CO., LTD",ROSIE DOUBLE BELTED HIGH WAIST PANTS,,,13976827963,69.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827963&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Frosie-double-belted-high-waist-pants,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Rosie_Double_Belted_High_Waist_Pants_by_STORETS_1800x1800.jpg?v=1550820601,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827963&type=2&subid=0, >
